inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
101,1,1,"/nonexistent/froster-golden/proj1","",0,0,4096,64,8,2,"0040755",1766361600,1765497600,1765497600,100,53687091200
102,1,1,"/nonexistent/froster-golden/edge-exact","",4200001,4200002,4096,64,8,2,"0040755",1732665600,1724025600,1724025600,100,1073741824
103,1,1,"/nonexistent/froster-golden/below-gib","",0,0,4096,64,8,2,"0040755",1767139200,1767139200,1767139200,1,1073741823
104,1,1,"/nonexistent/froster-golden/mib-exact","",0,4200002,4096,64,8,2,"0040755",1248825600,1248739200,1248739200,1024,10737418240
105,1,1,"/nonexistent/froster-golden/mib-below","",0,0,4096,64,8,2,"0040755",1767139200,1767139200,1767139200,1025,10737418240
106,2,2,"/nonexistent/froster-golden/proj1/file1.dat","dat",0,0,1048576,64,2048,1,"0100644",1766361600,1765497600,1765497600,-1,0
107,1,1,"/nonexistent/froster-golden/empty-dir","",0,0,4096,64,8,2,"0040755",1767139200,1767139200,1767139200,5,0
108,1,1,"/nonexistent/froster-golden/we""ird,name","",0,0,4096,64,8,2,"0040755",1758585600,1758585600,1758585600,3,3221225472
109,1,1,"/nonexistent/froster-golden/café","",0,0,4096,64,8,2,"0040755",1764547200,1764547200,1764547200,2,2147483648
110,1,1,"/nonexistent/froster-golden/naÃ¯ve","",0,0,4096,64,8,2,"0040755",1764633600,1764633600,1764633600,4,4294967296
111,1,1,"/nonexistent/froster-golden/atime-zero","",0,0,4096,64,8,2,"0040755",0,1762905600,1762905600,8,8589934592
112,1,1,"/nonexistent/froster-golden/zerofiles-small","",0,0,4096,64,8,2,"0040755",1767139200,1767139200,1767139200,0,4096
