inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
2223942,2223925,0,"/tmp/walker-golden-tree/noext","",1000,1000,7,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223943,2223925,0,"/tmp/walker-golden-tree/multi.part.tar.gz","gz",1000,1000,8,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223948,2223925,0,"/tmp/walker-golden-tree/dangling.link","link",1000,1000,23,2096,0,1,"0120777",1783750872,1783750872,1783750872,-1,0
2223941,2223925,0,"/tmp/walker-golden-tree/trailing.","link",1000,1000,6,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223935,2223925,0,"/tmp/walker-golden-tree/quo""te.txt","txt",1000,1000,20,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223937,2223926,1,"/tmp/walker-golden-tree/a/nested.bin","bin",1000,1000,4096,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223926,2223925,0,"/tmp/walker-golden-tree/a","",1000,1000,4096,2096,8,3,"0040755",1783750872,1783750872,1783750872,2,8192
2223929,2223925,0,"/tmp/walker-golden-tree/emptydir","",1000,1000,4096,2096,8,2,"0040755",1783750872,1783750872,1783750872,0,0
2223949,2223925,0,"/tmp/walker-golden-tree/pipe.fifo","fifo",1000,1000,0,2096,0,1,"0010644",1783750872,1783750872,1783750872,-1,0
2223934,2223925,0,"/tmp/walker-golden-tree/file with spaces.dat","dat",1000,1000,10,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223936,2223925,0,"/tmp/walker-golden-tree/com,ma.csv","csv",1000,1000,30,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223944,2223925,0,"/tmp/walker-golden-tree/..leadingdots.txt","txt",1000,1000,9,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223940,2223925,0,"/tmp/walker-golden-tree/.bashrc","",1000,1000,5,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223933,2223925,0,"/tmp/walker-golden-tree/hardlink-to-plain.txt","txt",1000,1000,1234,2096,8,2,"0100644",1783750872,1783750872,1783750872,-1,0
2223933,2223925,0,"/tmp/walker-golden-tree/plain.txt","txt",1000,1000,1234,2096,8,2,"0100644",1783750872,1783750872,1783750872,-1,0
2223947,2223925,0,"/tmp/walker-golden-tree/link-to-plain","",1000,1000,9,2096,0,1,"0120777",1783750872,1783750872,1783750872,-1,0
2223945,2223925,0,"/tmp/walker-golden-tree/café.txt","txt",1000,1000,11,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223946,2223925,0,"/tmp/walker-golden-tree/badnamefile.txt","txt",1000,1000,12,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223930,2223925,0,"/tmp/walker-golden-tree/dir.with.ext","",1000,1000,4096,2096,8,2,"0040755",1783750872,1783750872,1783750872,0,0
2223925,0,-1,"/tmp/walker-golden-tree","",1000,1000,4096,2096,8,6,"0040755",1783750872,1783750872,1783750872,19,19002
2223939,2223928,3,"/tmp/walker-golden-tree/a/b/c/deepest","",1000,1000,1,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223938,2223927,2,"/tmp/walker-golden-tree/a/b/deep.log","log",1000,1000,777,2096,8,1,"0100644",1783750872,1783750872,1783750872,-1,0
2223927,2223926,1,"/tmp/walker-golden-tree/a/b","",1000,1000,4096,2096,8,3,"0040755",1783750872,1783750872,1783750872,2,4873
2223928,2223927,2,"/tmp/walker-golden-tree/a/b/c","",1000,1000,4096,2096,8,2,"0040755",1783750872,1783750872,1783750872,1,1
