inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
2236329,2228226,0,"/tmp/froster-golden/data/golden-tree/quote""file.txt","txt",1000,1000,3072,2096,8,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236250,2228226,0,"/tmp/froster-golden/data/golden-tree/big_beta.dat","dat",1000,1000,3670016,2096,7168,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236313,2228226,0,"/tmp/froster-golden/data/golden-tree/just_under_1mib.dat","dat",1000,1000,1048575,2096,2048,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236523,2236479,1,"/tmp/froster-golden/data/golden-tree/sub_data/big_gamma.dat","dat",1000,1000,1572864,2096,3072,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236670,2236479,1,"/tmp/froster-golden/data/golden-tree/sub_data/small_notes.md","md",1000,1000,8192,2096,16,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236479,2228226,0,"/tmp/froster-golden/data/golden-tree/sub_data","",1000,1000,4096,2096,8,3,"0040755",1783752020,1767261845,1783752020,3,1585152
2236321,2228226,0,"/tmp/froster-golden/data/golden-tree/values,comma.csv","csv",1000,1000,4096,2096,8,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236319,2228226,0,"/tmp/froster-golden/data/golden-tree/file with spaces.txt","txt",1000,1000,5120,2096,16,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236332,2228226,0,"/tmp/froster-golden/data/golden-tree/café.dat","dat",1000,1000,2048,2096,8,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236243,2228226,0,"/tmp/froster-golden/data/golden-tree/big_alpha.dat","dat",1000,1000,2097152,2096,4096,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236279,2228226,0,"/tmp/froster-golden/data/golden-tree/exactly_1mib.dat","dat",1000,1000,1048576,2096,2048,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236316,2228226,0,"/tmp/froster-golden/data/golden-tree/small_report.txt","txt",1000,1000,10240,2096,24,1,"0100644",1783752020,1767261845,1783752020,-1,0
2228226,0,-1,"/tmp/froster-golden/data/golden-tree","",1000,1000,4096,2096,8,4,"0040755",1783752020,1767261845,1783752020,11,7897087
2237034,2236712,2,"/tmp/froster-golden/data/golden-tree/sub_data/deeper/mid_size.dat","dat",1000,1000,2097152,2096,4096,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236739,2236712,2,"/tmp/froster-golden/data/golden-tree/sub_data/deeper/tiny.bin","bin",1000,1000,100,2096,8,1,"0100644",1783752020,1767261845,1783752020,-1,0
2236712,2236479,1,"/tmp/froster-golden/data/golden-tree/sub_data/deeper","",1000,1000,4096,2096,8,2,"0040755",1783752020,1767261845,1783752020,2,2097252
2228227,2228226,0,"/tmp/froster-golden/data/golden-tree/empty-dir","",1000,1000,4096,2096,8,2,"0040755",1783752020,1767261845,1783752020,0,0
